reporting_group,reporting_scope,component_id,stratum,attack_related,metric_role,median,q1,q3,iqr,mad,p95,n,artifact_count,not_an_overhead_estimate
H5,PRIMARY_STRATUM,H5,H5,ALL,paired_component_minus_load_difference_ns,-6660000.0,-9945225.0,-5397775.0,4547450.0,1663250.0,-4992375.000000001,4200,42,True
H5_IO,PRIMARY_STRATUM,H5_IO,H5_IO,ALL,raw_component_latency_ns,21030500.0,15621600.0,27305175.0,11683575.0,5681200.0,53229684.999999985,4200,42,False
H5_IO,PRIMARY_STRATUM,H5_IO,H5_IO,ALL,paired_h0_latency_ns,18254900.0,12591900.0,27048675.0,14456775.0,6620950.0,46938519.999999985,4200,42,False
H5_IO,PRIMARY_STRATUM,H5_IO,H5_IO,ALL,composed_path_latency_ns,39895600.0,29486450.0,54510275.0,25023825.0,11717950.0,99046844.99999999,4200,42,False
H5_IO,PRIMARY_STRATUM,H5_IO,H5_IO,ALL,paired_component_minus_load_difference_ns,2808400.0,-2695000.0,6473775.0,9168775.0,4558650.0,19826019.999999996,4200,42,True
H6,PRIMARY_STRATUM,H6,H6,ALL,raw_component_latency_ns,17942500.0,9191725.0,23007025.0,13815300.0,8407800.0,58099899.99999995,4200,42,False
H6,PRIMARY_STRATUM,H6,H6,ALL,paired_h0_latency_ns,10228700.0,6000425.0,13076200.0,7075775.0,4022550.0,28441129.999999993,4200,42,False
H6,PRIMARY_STRATUM,H6,H6,ALL,composed_path_latency_ns,28475850.0,15148975.0,35965200.0,20816225.0,12760500.0,86737884.99999984,4200,42,False
H6,PRIMARY_STRATUM,H6,H6,ALL,paired_component_minus_load_difference_ns,7006950.0,3368625.0,10312525.0,6943900.0,3592150.0,31011404.999999985,4200,42,True
H7,PRIMARY_STRATUM,H7,H7,ALL,raw_component_latency_ns,14700.0,5700.0,19200.0,13500.0,7900.0,24800.0,4200,42,False
H7,PRIMARY_STRATUM,H7,H7,ALL,paired_h0_latency_ns,7057250.0,5598475.0,10298525.0,4700050.0,1902950.0,13350635.0,4200,42,False
H7,PRIMARY_STRATUM,H7,H7,ALL,composed_path_latency_ns,7063950.0,5611425.0,10312975.0,4701550.0,1898850.0,13361414.999999996,4200,42,False
H7,PRIMARY_STRATUM,H7,H7,ALL,paired_component_minus_load_difference_ns,-7039050.0,-10281675.0,-5583575.0,4698100.0,1895200.0,-5130095.0,4200,42,True
H8,PRIMARY_STRATUM,H8,H8,ALL,raw_component_latency_ns,1567450.0,1277550.0,2032200.0,754650.0,364950.0,2629704.9999999977,4200,42,False
